time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-28T02:58:07.560Z,35.8886667,-117.7058333,7.16,1.03,ml,15,64,0.0743,0.2,ci,ci39284480,2020-01-28T03:01:53.758Z,"19km ESE of Little Lake, CA",earthquake,0.46,1.24,0.193,13,automatic,ci,ci
2020-01-28T02:57:57.930Z,35.095,-116.9661667,1.56,1.87,ml,19,53,0.2206,0.12,ci,ci39284472,2020-01-28T03:01:42.756Z,"22km NNE of Barstow, CA",earthquake,0.23,1.14,0.192,26,automatic,ci,ci
2020-01-28T02:57:19.820Z,19.2189999,-155.4160004,33.06,2.27,md,51,139,0.02538,0.14,hv,hv71354887,2020-01-28T03:00:37.620Z,"6km ENE of Pahala, Hawaii",earthquake,0.5,0.58,0.13,25,automatic,hv,hv
2020-01-28T02:47:14.700Z,19.2188339,-155.4360046,31.14,1.98,md,48,130,0.04085,0.14,hv,hv71354877,2020-01-28T02:50:28.560Z,"4km ENE of Pahala, Hawaii",earthquake,0.58,0.92,0.17,18,automatic,hv,hv
2020-01-28T02:35:14.710Z,38.7883339,-122.7633362,1.96,1.57,md,26,75,0.0126,0.03,nc,nc73332726,2020-01-28T03:05:04.439Z,"1km NNW of The Geysers, CA",earthquake,0.22,0.35,0.07,6,automatic,nc,nc
2020-01-28T02:34:44.450Z,61.8634,-147.7304,24.4,2.1,ml,,,,0.75,ak,ak0201acfyse,2020-01-28T02:39:04.924Z,"59km E of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-01-28T02:34:05.500Z,36.0795,-117.8415,1.76,1.09,ml,15,116,0.03951,0.12,ci,ci39284456,2020-01-28T02:37:44.613Z,"10km ENE of Coso Junction, CA",earthquake,0.18,0.22,0.213,18,automatic,ci,ci
2020-01-28T02:15:10.390Z,17.9303,-66.8766,10,2.82,md,12,214,0.0449,0.16,pr,pr2020028004,2020-01-28T02:52:23.540Z,"5km SE of Guanica, Puerto Rico",earthquake,0.98,0.54,0.31,7,reviewed,pr,pr
2020-01-28T02:09:44.730Z,35.6705,-117.5213333,10.67,1.11,ml,16,97,0.09667,0.17,ci,ci39284432,2020-01-28T02:13:21.620Z,"15km ENE of Ridgecrest, CA",earthquake,0.39,0.86,0.151,13,automatic,ci,ci
2020-01-28T02:09:11.210Z,40.5250015,-123.6251678,23.22,2.12,md,11,92,0.06091,0.1,nc,nc73332721,2020-01-28T02:39:04.112Z,"38km W of Hayfork, CA",earthquake,0.8,0.97,0.06,3,automatic,nc,nc
2020-01-28T02:03:40.962Z,35.83355331,-97.26293945,3.746683121,1.61,ml,18,89.21725464,0.1423374861,0.143668247,ok,ok2020bxmr,2020-01-28T02:06:23.918Z,"12km S of Langston, Oklahoma",earthquake,3.653394517,2.930512697,,14,automatic,ok,ok
2020-01-28T02:00:28.193Z,58.2049,-151.3546,35.2,2.5,ml,,,,0.55,ak,ak0201ac8n7n,2020-01-28T02:12:27.202Z,"77km NE of Kodiak, Alaska",earthquake,,21.5,,,automatic,ak,ak
2020-01-28T01:59:54.900Z,17.9938,-66.753,5,2.23,ml,12,184,0.1276,0.14,pr,pr2020028003,2020-01-28T02:20:46.663Z,"3km W of Tallaboa, Puerto Rico",earthquake,0.76,0.42,0,0,reviewed,pr,pr
2020-01-28T01:48:54.740Z,33.502,-116.784,6.52,0.61,ml,26,47,0.01713,0.19,ci,ci39284424,2020-01-28T01:52:35.322Z,"10km NE of Aguanga, CA",earthquake,0.3,0.85,0.101,20,automatic,ci,ci
2020-01-28T01:41:27.400Z,19.4128342,-155.33284,3.8,2.25,ml,34,77,0.02275,0.15,hv,hv71354762,2020-01-28T01:47:01.270Z,"10km WSW of Volcano, Hawaii",earthquake,0.32,0.81,0.3,5,automatic,hv,hv
2020-01-28T01:36:51.098Z,35.13198471,-95.35147095,5,2.72,ml,28,198.2783928,0.1191515774,0.7505261799,ok,ok2020bxlu,2020-01-28T01:39:44.946Z,"2km ENE of Quinton, Oklahoma",earthquake,4.058658094,,,22,automatic,ok,ok
2020-01-28T01:36:02.539Z,43.558,145.9487,78.99,5.5,mb,,102,2.491,0.77,us,us60007huu,2020-01-28T02:01:22.699Z,"39km NE of Nemuro, Japan",earthquake,8.2,6.7,0.044,175,reviewed,us,us
2020-01-28T01:24:34.040Z,32.9681667,-116.2886667,11.82,0.94,ml,22,107,0.01833,0.2,ci,ci39284400,2020-01-28T01:28:10.188Z,"24km SW of Ocotillo Wells, CA",earthquake,0.32,0.77,0.196,15,automatic,ci,ci
2020-01-28T01:17:40.510Z,33.5026667,-116.7798333,1.33,1.06,ml,37,32,0.01969,0.22,ci,ci39284384,2020-01-28T01:21:23.150Z,"10km NE of Aguanga, CA",earthquake,0.21,0.33,0.107,27,automatic,ci,ci
2020-01-28T01:17:39.110Z,60.5533,-152.1646,79.3,1.9,ml,,,,0.81,ak,ak0201abqvlx,2020-01-28T01:29:16.088Z,"32km ENE of Redoubt Volcano, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-01-28T01:14:57.200Z,63.0642,-151.9901,9.8,1.7,ml,,,,0.58,ak,ak0201abq9w3,2020-01-28T01:18:43.196Z,"126km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-01-28T01:13:12.870Z,19.2005005,-155.4234924,31.33,1.73,md,31,154,0.04425,0.15,hv,hv71354712,2020-01-28T01:16:40.040Z,"5km E of Pahala, Hawaii",earthquake,0.67,1.01,0.11,5,automatic,hv,hv
2020-01-28T01:09:25.810Z,19.1448326,-155.4850006,30.68,2.22,md,20,214,0.1038,0.16,hv,hv71354707,2020-01-28T01:12:26.900Z,"6km S of Pahala, Hawaii",earthquake,1.21,1.38,1.27,3,automatic,hv,hv
2020-01-28T01:04:38.640Z,19.4594994,-155.6000061,-1.12,1.81,ml,11,90,0.008056,0.21,hv,hv71354692,2020-01-28T01:10:12.830Z,"27km E of Honaunau-Napoopoo, Hawaii",earthquake,0.58,0.35,0.08,3,automatic,hv,hv
2020-01-28T01:02:28.650Z,33.9965,-116.9965,19.32,0.84,ml,15,116,0.07017,0.14,ci,ci39284368,2020-01-28T01:06:13.257Z,"5km E of Calimesa, CA",earthquake,0.41,0.92,0.158,18,automatic,ci,ci
2020-01-28T00:57:10.170Z,37.6308333,-118.8648333,2.05,0.06,md,8,101,0.02286,0.03,nc,nc73332711,2020-01-28T01:31:03.499Z,"10km E of Mammoth Lakes, CA",earthquake,0.44,1.28,0.225,7,reviewed,nc,nc
2020-01-28T00:54:08.130Z,33.479,-116.4845,13.9,0.82,ml,24,63,0.06614,0.25,ci,ci39284360,2020-01-28T00:57:54.866Z,"20km ESE of Anza, CA",earthquake,0.45,0.78,0.128,22,automatic,ci,ci
2020-01-28T00:53:10.990Z,35.8938333,-117.7265,2.13,1.66,ml,25,40,0.08203,0.17,ci,ci39284352,2020-01-28T01:03:28.030Z,"17km ESE of Little Lake, CA",earthquake,0.21,0.35,0.119,26,automatic,ci,ci
2020-01-28T00:44:35.320Z,17.9656,-66.8466,15,3.38,md,12,203,0.034,0.21,pr,pr2020028002,2020-01-28T01:29:41.471Z,"11km SSE of Maria Antonia, Puerto Rico",earthquake,1.01,0.74,0.24,8,reviewed,pr,pr
2020-01-28T00:43:37.302Z,36.7725,71.5644,110.21,4,mb,,100,2.713,0.92,us,us60007hu5,2020-01-28T01:05:45.040Z,"6km NW of Ishkashim, Tajikistan",earthquake,6.3,10.1,0.099,27,reviewed,us,us
2020-01-28T00:42:16.380Z,33.5,-116.779,1.34,1.14,ml,40,30,0.02169,0.21,ci,ci39284336,2020-01-28T00:46:04.586Z,"10km NE of Aguanga, CA",earthquake,0.21,0.33,0.157,26,automatic,ci,ci
2020-01-28T00:35:35.191Z,58.2172,-154.6916,13.8,1.7,ml,,,,0.7,ak,ak0201ab9ak4,2020-01-28T00:43:45.185Z,"86km NNW of Larsen Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-01-28T00:34:43.719Z,34.50124741,-97.66994476,5.070870876,2.13,ml,11,165.3898926,0.1670977473,0.5680740418,ok,ok2020bxjs,2020-01-28T00:37:03.186Z,"20km SE of Bray, Oklahoma",earthquake,4.444815402,3.049634743,,8,automatic,ok,ok
2020-01-28T00:24:37.580Z,35.0426667,-117.6661667,0.29,1.78,ml,31,54,0.1108,0.23,ci,ci39284320,2020-01-28T00:28:43.827Z,"5km NNW of Boron, CA",quarry blast,0.45,31.61,0.129,29,automatic,ci,ci
2020-01-28T00:16:48.290Z,17.9153,-66.6943,8,3.5,ml,12,209,0.155,0.1,pr,pr2020028000,2020-01-28T02:18:16.801Z,"7km SSE of Tallaboa, Puerto Rico",earthquake,0.58,1.05,0.05,7,reviewed,pr,pr
2020-01-28T00:14:17.180Z,35.7848333,-117.5988333,5.3,0.9,ml,16,125,0.03086,0.18,ci,ci39284312,2020-01-28T00:17:54.282Z,"18km W of Searles Valley, CA",earthquake,0.36,0.75,0.169,11,automatic,ci,ci
2020-01-28T00:13:54.220Z,37.516,-118.8776667,4.49,0.81,md,12,213,0.08337,0.02,nc,nc73332701,2020-01-28T01:40:03.706Z,"16km SSE of Mammoth Lakes, CA",earthquake,0.64,1.97,0.195,11,reviewed,nc,nc
2020-01-28T00:11:24.180Z,32.6225,-115.7325,3.83,1.65,ml,18,121,0.02725,0.26,ci,ci39284304,2020-01-28T00:15:19.746Z,"15km WNW of Progreso, B.C., MX",earthquake,0.75,0.56,0.239,24,automatic,ci,ci
2020-01-28T00:10:39.374Z,59.8092,-153.013,103.4,2.7,ml,,,,0.6,ak,ak0201ab3y11,2020-01-28T00:58:19.040Z,"64km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-28T00:05:53.430Z,36.6623344,-121.2833328,6.09,2.13,md,23,125,0.04704,0.06,nc,nc73332696,2020-01-28T02:08:02.871Z,"15km SSE of Tres Pinos, CA",earthquake,0.28,0.77,0.23,25,automatic,nc,nc
2020-01-28T00:04:39.350Z,19.1851673,-155.4779968,33.35,1.97,md,39,113,0.03319,0.12,hv,hv71354582,2020-01-28T00:07:48.970Z,"2km S of Pahala, Hawaii",earthquake,0.64,0.99,0.13,6,automatic,hv,hv
2020-01-28T00:04:29.530Z,17.979,-66.7558,12,3.34,md,12,192,0.1235,0.16,pr,pr2020028001,2020-01-28T01:18:13.329Z,"2km SW of Tallaboa, Puerto Rico",earthquake,0.9,0.51,0.17,6,reviewed,pr,pr
2020-01-27T23:46:18.740Z,33.5023333,-116.7796667,1.58,1.53,ml,49,30,0.01997,0.21,ci,ci39284288,2020-01-27T23:57:05.180Z,"10km NE of Aguanga, CA",earthquake,0.19,0.3,0.121,26,automatic,ci,ci
2020-01-27T23:41:13.191Z,61.8142,-149.834,20.7,2.7,ml,,,,0.6,ak,ak020191g5mz,2020-01-28T00:42:10.040Z,"18km NNW of Meadow Lakes, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-01-27T23:37:56.560Z,35.6965,-117.5178333,2.68,0.92,ml,16,140,0.1187,0.26,ci,ci39284280,2020-01-27T23:41:40.535Z,"13km SW of Searles Valley, CA",earthquake,0.71,1.09,0.149,11,automatic,ci,ci
2020-01-27T23:33:19.627Z,17.899,-66.9149,15.61,2.9,ml,,223,0.141,0.52,us,us60007hsp,2020-01-28T02:45:27.698Z,"8km S of Guanica, Puerto Rico",earthquake,2.8,2.2,0.064,32,reviewed,us,us
2020-01-27T23:18:08.230Z,37.5466667,-118.9391667,2.62,0.22,md,11,245,0.06803,0.08,nc,nc73332671,2020-01-28T01:21:03.781Z,"11km SSE of Mammoth Lakes, CA",earthquake,0.58,1.62,0.067,8,reviewed,nc,nc
2020-01-27T23:10:46.894Z,37.4363,-115.5197,3.1,1.3,ml,18,97.67,0.276,0.1495,nn,nn00716045,2020-01-28T02:09:20.790Z,"32km WNW of Alamo, Nevada",earthquake,,3.4,0.34,11,reviewed,nn,nn
2020-01-27T23:06:57.120Z,37.433,-115.5088,10.6,1.1,ml,7,320.1,0.491,0.1254,nn,nn00716049,2020-01-28T02:09:22.015Z,"31km WNW of Alamo, Nevada",earthquake,,11.5,0.33,3,reviewed,nn,nn
2020-01-27T23:01:47.585Z,63.4853,-148.4515,0,1.4,ml,,,,0.59,ak,ak0201917nml,2020-01-27T23:17:43.152Z,"27km ENE of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-01-27T22:59:13.320Z,35.6428333,-117.4716667,3.93,0.93,ml,17,87,0.05674,0.18,ci,ci39284264,2020-01-27T23:02:56.258Z,"15km SSW of Searles Valley, CA",earthquake,0.43,0.97,0.078,11,automatic,ci,ci
2020-01-27T22:47:50.660Z,60.9704,-148.6234,17.2,2,ml,,,,0.89,ak,ak020190w37d,2020-01-27T23:04:29.756Z,"22km N of Whittier, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-01-27T22:44:05.330Z,38.8238335,-122.7946701,3.35,0.55,md,8,83,0.01494,0.01,nc,nc73332666,2020-01-27T22:59:03.194Z,"6km NNW of The Geysers, CA",earthquake,0.77,1.59,,1,automatic,nc,nc
2020-01-27T22:42:57.640Z,19.2259998,-155.4335022,31.16,1.81,md,31,128,0.03589,0.14,hv,hv71354447,2020-01-27T22:46:14.480Z,"5km ENE of Pahala, Hawaii",earthquake,0.74,1,0.06,6,automatic,hv,hv
2020-01-27T22:42:44.852Z,60.3552,-152.4237,78.5,1.7,ml,,,,0.39,ak,ak020190v05z,2020-01-27T22:56:39.366Z,"22km SE of Redoubt Volcano, Alaska",earthquake,,1,,,automatic,ak,ak
2020-01-27T22:41:55.540Z,34.1568333,-117.438,11.39,1.94,ml,75,24,0.07647,0.19,ci,ci39284256,2020-01-27T22:52:34.240Z,"7km NNE of Fontana, CA",earthquake,0.19,0.56,0.126,23,automatic,ci,ci
2020-01-27T22:39:37.449Z,59.8781,-151.621,51.8,1.7,ml,,,,0.68,ak,ak020190ucht,2020-01-27T22:56:38.707Z,"16km NE of Anchor Point, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-01-27T22:36:30.100Z,35.7045,-117.5115,10.79,0.97,ml,17,101,0.1244,0.18,ci,ci39284240,2020-01-27T22:40:12.269Z,"12km SW of Searles Valley, CA",earthquake,0.44,1.04,0.191,12,automatic,ci,ci
2020-01-27T22:34:32.960Z,37.5486667,-118.8075,8.66,0.94,md,16,137,0.04472,0.03,nc,nc73332656,2020-01-28T01:38:01.691Z,"11km W of Toms Place, CA",earthquake,0.62,0.92,0.141,15,reviewed,nc,nc
2020-01-27T22:23:03.030Z,35.8418333,-117.6618333,4.28,1.41,ml,24,46,0.0584,0.2,ci,ci39284224,2020-01-27T22:26:50.514Z,"24km ESE of Little Lake, CA",earthquake,0.31,0.67,0.208,21,automatic,ci,ci
2020-01-27T22:19:05.890Z,36.628334,-121.2799988,3.71,1.7,md,10,114,0.03289,0.13,nc,nc73332641,2020-01-28T00:56:02.398Z,"16km NW of Pinnacles, CA",earthquake,0.5,1.36,0.3,8,automatic,nc,nc
2020-01-27T22:17:31.510Z,33.9735,-116.6603333,9.19,1.71,ml,55,35,0.06567,0.21,ci,ci39284208,2020-01-27T22:28:22.250Z,"11km SW of Morongo Valley, CA",earthquake,0.24,0.67,0.169,25,automatic,ci,ci
2020-01-27T22:10:12.990Z,12.0861,-87.6729,35,4.3,mb,,189,0.879,1,us,us60007hmn,2020-01-27T23:03:49.040Z,"69km SW of Corinto, Nicaragua",earthquake,4,2,0.07,58,reviewed,us,us
2020-01-27T22:05:01.540Z,46.9663333333333,-122.260166666667,-0.78,0.48,md,8,293,,0.14,uw,uw61569417,2020-01-27T22:57:34.210Z,"9km SSE of Graham, Washington",explosion,0.77,31.61,0.19369278108705,7,reviewed,uw,uw
2020-01-27T22:04:50.220Z,35.8945,-117.6976667,4.36,0.46,ml,10,87,0.06567,0.1,ci,ci39284192,2020-01-27T22:08:23.931Z,"19km ESE of Little Lake, CA",earthquake,0.29,0.87,0.123,5,automatic,ci,ci
2020-01-27T21:59:01.726Z,37.4367,-115.5133,10.7,2,ml,29,67.97,0.279,0.1786,nn,nn00716032,2020-01-28T02:09:17.686Z,"31km WNW of Alamo, Nevada",earthquake,,3.6,0.31,17,reviewed,nn,nn
2020-01-27T21:55:08.094Z,35.13175583,-95.37853241,1.121969819,2.12,ml,12,197.1315384,0.1021941677,0.5691532166,ok,ok2020bxem,2020-01-27T21:57:25.292Z,"1km NW of Quinton, Oklahoma",earthquake,7.298493401,4.377822166,,8,automatic,ok,ok
2020-01-27T21:53:06.095Z,37.4308,-115.5118,2.8,2.1,ml,29,68.85,0.284,0.1773,nn,nn00716030,2020-01-28T02:09:15.505Z,"31km WNW of Alamo, Nevada",earthquake,,2.9,0.33,18,reviewed,nn,nn
2020-01-27T21:49:55.740Z,36.9785004,-121.6295013,4.17,1.63,md,10,119,0.04451,0.05,nc,nc73332636,2020-01-28T00:26:03.669Z,"6km WSW of Gilroy, CA",earthquake,0.3,0.78,0.15,10,automatic,nc,nc
2020-01-27T21:35:48.220Z,35.638,-117.4585,4.77,1.08,ml,15,147,0.05148,0.12,ci,ci39284152,2020-01-27T21:39:29.814Z,"15km SSW of Searles Valley, CA",earthquake,0.37,0.54,0.146,13,automatic,ci,ci
2020-01-27T21:32:58.399Z,35.139,-95.38333333,6.72,2.15,ml,46,196,0.09448145951,0.17,ok,ok2020bxdt,2020-01-27T23:05:54.702Z,"2km NNW of Quinton, Oklahoma",earthquake,,0.4,0.22,10,reviewed,ok,ok
2020-01-27T21:30:33.320Z,33.5053333,-116.4506667,11.31,0.61,ml,20,76,0.02756,0.21,ci,ci39284136,2020-01-27T21:34:06.537Z,"21km ESE of Anza, CA",earthquake,0.42,1.01,0.158,16,automatic,ci,ci
2020-01-27T21:29:04.230Z,34.0028333,-116.7951667,9.58,1,ml,29,51,0.03389,0.21,ci,ci39284128,2020-01-27T21:32:49.601Z,"10km N of Cabazon, CA",earthquake,0.38,0.66,0.214,30,automatic,ci,ci
2020-01-27T21:28:57.400Z,38.7891655,-122.7340012,1.71,1.05,md,7,91,0.006291,0.01,nc,nc73332626,2020-01-27T21:53:02.751Z,"2km NE of The Geysers, CA",earthquake,0.37,0.89,0.31,2,automatic,nc,nc
2020-01-27T21:06:44.690Z,17.9145,-66.863,8,3.38,md,12,219,0.0627,0.07,pr,pr2020027011,2020-01-27T23:19:34.502Z,"5km SE of Maria Antonia, Puerto Rico",earthquake,0.78,0.5,0.3,7,reviewed,pr,pr
2020-01-27T20:58:54.370Z,35.624,-117.5951667,6.61,0.77,ml,10,109,0.1146,0.15,ci,ci39284064,2020-01-27T21:13:32.740Z,"7km E of Ridgecrest, CA",earthquake,0.52,1.38,0.116,10,reviewed,ci,ci
2020-01-27T20:54:58.811Z,61.795,-149.533,14.4,1.5,ml,,,,0.42,ak,ak02018zqpgl,2020-01-27T22:53:22.986Z,"16km WNW of Fishhook, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-01-27T20:48:36.130Z,38.8026657,-122.7809982,2.46,1.03,md,23,52,0.01058,0.03,nc,nc73332616,2020-01-27T20:50:15.568Z,"4km NW of The Geysers, CA",earthquake,0.23,0.44,0.19,5,automatic,nc,nc
2020-01-27T20:44:12.640Z,19.2203331,-155.4194946,31.72,2.03,md,36,141,0.0269,0.13,hv,hv71354292,2020-01-27T21:55:27.242Z,"6km ENE of Pahala, Hawaii",earthquake,0.76,0.94,0.11,4,automatic,hv,hv
2020-01-27T20:43:38.550Z,38.7833328,-122.7283325,1.06,1.21,md,15,124,0.01283,0.04,nc,nc73332611,2020-01-27T23:28:03.389Z,"2km ENE of The Geysers, CA",earthquake,0.28,0.57,0.06,5,automatic,nc,nc
2020-01-27T20:43:21.320Z,35.6653333,-117.4933333,10.13,1.08,ml,15,161,0.08265,0.18,ci,ci39284048,2020-01-27T21:13:34.819Z,"14km SW of Searles Valley, CA",earthquake,0.44,0.96,0.168,15,reviewed,ci,ci
2020-01-27T20:43:18.850Z,38.783165,-122.7266693,0.93,0.16,md,6,145,0.00786,0.02,nc,nc73332606,2020-01-27T21:30:03.610Z,"3km ENE of The Geysers, CA",earthquake,0.48,0.52,0.07,2,automatic,nc,nc
2020-01-27T20:34:06.580Z,35.8986667,-117.737,11.44,0.66,ml,9,69,0.08277,0.05,ci,ci39284032,2020-01-27T21:13:56.516Z,"16km ESE of Little Lake, CA",earthquake,0.2,0.6,0.292,7,reviewed,ci,ci
2020-01-27T20:33:56.014Z,39.2264,-120.0861,9.5,0.3,ml,4,125,0.036,0.1001,nn,nn00716043,2020-01-28T02:09:19.138Z,"3km WSW of Tahoe Vista, California",earthquake,,2.4,0.04,2,reviewed,nn,nn
2020-01-27T20:31:56.860Z,38.5431667,-122.764,5.64,1.25,md,27,100,0.04598,0.09,nc,nc73332596,2020-01-28T01:49:03.758Z,"4km NNW of Larkfield-Wikiup, CA",earthquake,0.28,0.48,0.171,14,reviewed,nc,nc
2020-01-27T20:30:03.275Z,61.7676,-151.43,78.9,1.9,ml,,,,0.78,ak,ak02018zlh6t,2020-01-27T22:53:22.404Z,"73km W of Willow, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-01-27T20:20:30.890Z,35.6581667,-117.4463333,8.88,0.78,ml,12,119,0.07267,0.2,ci,ci39284024,2020-01-27T21:14:11.516Z,"13km SSW of Searles Valley, CA",earthquake,0.58,1.44,0.066,8,reviewed,ci,ci
2020-01-27T20:13:31.660Z,38.8098335,-122.7896652,2.82,1.26,md,31,53,0.004782,0.02,nc,nc73332586,2020-01-27T22:35:03.027Z,"5km NW of The Geysers, CA",earthquake,0.24,0.36,0.12,6,automatic,nc,nc
2020-01-27T20:09:19.590Z,38.8544998,-122.8136673,0.75,0.36,md,5,158,0.007561,0.01,nc,nc73332581,2020-01-27T20:10:55.042Z,"9km WNW of Cobb, CA",earthquake,0.48,0.8,,1,automatic,nc,nc
2020-01-27T20:08:57.260Z,38.854332,-122.8141632,0.73,1.06,md,17,100,0.0133,0.04,nc,nc73332576,2020-01-27T20:35:03.469Z,"9km WNW of Cobb, CA",earthquake,0.23,0.45,0.06,4,automatic,nc,nc
2020-01-27T20:08:43.290Z,37.4243,-115.4823,0,2.3,ml,31,136.43,0.304,0.1925,nn,nn00716024,2020-01-28T02:09:13.041Z,"28km WNW of Alamo, Nevada",earthquake,,3.6,0.28,20,reviewed,nn,nn
2020-01-27T20:07:16.700Z,38.8535004,-122.8156662,0.66,1.19,md,22,90,0.02148,0.04,nc,nc73332571,2020-01-27T22:10:02.866Z,"9km WNW of Cobb, CA",earthquake,0.22,0.47,0.14,5,automatic,nc,nc
2020-01-27T20:06:45.390Z,38.8533325,-122.8150024,0.8,0.93,md,15,84,0.00665,0.03,nc,nc73332561,2020-01-27T20:23:02.299Z,"9km WNW of Cobb, CA",earthquake,0.24,0.39,0.12,3,automatic,nc,nc
2020-01-27T20:06:31.640Z,38.8523331,-122.8150024,0.5,0.77,md,16,76,0.006919,0.05,nc,nc73332556,2020-01-27T20:19:02.274Z,"9km WNW of Cobb, CA",earthquake,0.24,0.4,0.07,4,automatic,nc,nc
2020-01-27T20:05:45.390Z,38.8526649,-122.8144989,0.92,1.82,md,27,79,0.007192,0.03,nc,nc73332566,2020-01-27T21:45:04.706Z,"9km WNW of Cobb, CA",earthquake,0.19,0.31,0.18,7,automatic,nc,nc
2020-01-27T19:58:29.018Z,63.5108,-147.3564,33.9,1.7,ml,,,,1.11,ak,ak02018z63gx,2020-01-27T22:53:21.808Z,"80km E of Cantwell, Alaska",earthquake,,1.9,,,automatic,ak,ak
2020-01-27T19:43:35.810Z,19.2108326,-155.4156647,33.81,2.21,ml,45,151,0.0316,0.12,hv,hv71354212,2020-01-27T19:49:18.030Z,"6km E of Pahala, Hawaii",earthquake,0.55,0.66,0.09,3,automatic,hv,hv
2020-01-27T19:39:27.129Z,37.4314,-115.5205,8.4,1.2,ml,19,72.59,0.279,0.1714,nn,nn00716018,2020-01-28T02:09:08.027Z,"32km WNW of Alamo, Nevada",earthquake,,19.4,0.21,12,reviewed,nn,nn
2020-01-27T19:20:16.727Z,64.8081,-147.2255,17,1.3,ml,,,,0.26,ak,ak02018yxxfq,2020-01-27T22:53:21.190Z,"8km NE of North Pole, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-01-27T19:19:57.100Z,35.9893333,-117.9868333,6.16,1.56,ml,24,62,0.08033,0.1,ci,ci39283912,2020-01-27T20:04:29.410Z,"7km SSW of Coso Junction, CA",earthquake,0.19,0.69,0.309,26,reviewed,ci,ci
2020-01-27T19:13:25.420Z,-6.276,152.5612,30.43,5.1,mww,,115,2.108,1.19,us,us60007hgz,2020-01-27T19:29:49.040Z,"206km SSW of Taron, Papua New Guinea",earthquake,8.2,7,0.078,16,reviewed,us,us
2020-01-27T19:09:01.030Z,38.8055,-122.8146667,2.04,1.02,md,22,71,0.01533,0.03,nc,nc73332526,2020-01-27T19:52:03.116Z,"6km WNW of The Geysers, CA",earthquake,0.22,0.43,0.1,5,automatic,nc,nc
